workplace_measure,shifts_per_day,staff_per_shift,strength,staff_change,prop_infected
Social distancing,3.0,5.0,6,7,0.07
Social distancing,3.0,5.0,6,14,0.1
Social distancing,3.0,5.0,6,21,0.13
Social distancing,3.0,10.0,2,1,
Social distancing,3.0,10.0,2,3,
Social distancing,3.0,10.0,2,7,
Social distancing,3.0,10.0,2,14,
Social distancing,3.0,10.0,2,21,
Social distancing,3.0,10.0,4,1,0.07
Social distancing,3.0,10.0,4,3,0.1
Social distancing,3.0,10.0,4,7,0.1
Social distancing,3.0,10.0,4,14,0.21
Social distancing,3.0,10.0,4,21,0.23
Social distancing,3.0,10.0,6,1,0.03
Social distancing,3.0,10.0,6,3,0.05
Social distancing,3.0,10.0,6,7,0.07
Social distancing,3.0,10.0,6,14,0.15
Social distancing,3.0,10.0,6,21,0.15
Social distancing,3.0,20.0,2,1,
Social distancing,3.0,20.0,2,3,
Social distancing,3.0,20.0,2,7,
Social distancing,3.0,20.0,2,14,
Social distancing,3.0,20.0,2,21,
Social distancing,3.0,20.0,4,1,0.13
Social distancing,3.0,20.0,4,3,0.15
Social distancing,3.0,20.0,4,7,0.15
Social distancing,3.0,20.0,4,14,0.25
Social distancing,3.0,20.0,4,21,0.25
Social distancing,3.0,20.0,6,1,0.03
Social distancing,3.0,20.0,6,3,0.08
Social distancing,3.0,20.0,6,7,0.09
Social distancing,3.0,20.0,6,14,0.17
Social distancing,3.0,20.0,6,21,0.17
Social distancing,3.0,30.0,2,1,
Social distancing,3.0,30.0,2,3,
Social distancing,3.0,30.0,2,7,
Social distancing,3.0,30.0,2,14,
Social distancing,3.0,30.0,2,21,
Social distancing,3.0,30.0,4,1,0.23
Social distancing,3.0,30.0,4,3,0.28
Social distancing,3.0,30.0,4,7,0.21
Social distancing,3.0,30.0,4,14,0.25
Social distancing,3.0,30.0,4,21,0.25
Social distancing,3.0,30.0,6,1,0.05
Social distancing,3.0,30.0,6,3,0.13
Social distancing,3.0,30.0,6,7,0.14
Social distancing,3.0,30.0,6,14,0.17
Social distancing,3.0,30.0,6,21,0.17
Surgical mask,1.0,5.0,2,1,0.1
Surgical mask,1.0,5.0,2,3,0.15
Surgical mask,1.0,5.0,2,7,0.1
Surgical mask,1.0,5.0,2,14,0.2
Surgical mask,1.0,5.0,2,21,0.2
Surgical mask,1.0,5.0,4,1,0.05
Surgical mask,1.0,5.0,4,3,0.05
Surgical mask,1.0,5.0,4,7,0.05
Surgical mask,1.0,5.0,4,14,0.1
Surgical mask,1.0,5.0,4,21,0.1
Surgical mask,1.0,5.0,6,1,0.03
Surgical mask,1.0,5.0,6,3,0.03
Surgical mask,1.0,5.0,6,7,0.03
Surgical mask,1.0,5.0,6,14,0.1
Surgical mask,1.0,5.0,6,21,0.1
Surgical mask,1.0,10.0,2,1,0.1
Surgical mask,1.0,10.0,2,3,0.15
Surgical mask,1.0,10.0,2,7,0.15
Surgical mask,1.0,10.0,2,14,0.3
Surgical mask,1.0,10.0,2,21,0.25
Surgical mask,1.0,10.0,4,1,0.05
Surgical mask,1.0,10.0,4,3,0.05
Surgical mask,1.0,10.0,4,7,0.07
Surgical mask,1.0,10.0,4,14,0.15
Surgical mask,1.0,10.0,4,21,0.12
Surgical mask,1.0,10.0,6,1,0.02
Surgical mask,1.0,10.0,6,3,0.03
Surgical mask,1.0,10.0,6,7,0.05
Surgical mask,1.0,10.0,6,14,0.12
Surgical mask,1.0,10.0,6,21,0.1
Surgical mask,1.0,20.0,2,1,0.17
Surgical mask,1.0,20.0,2,3,0.23
Surgical mask,1.0,20.0,2,7,0.15
Surgical mask,1.0,20.0,2,14,0.45
Surgical mask,1.0,20.0,2,21,0.45
Surgical mask,1.0,20.0,4,1,0.04
Surgical mask,1.0,20.0,4,3,0.05
Surgical mask,1.0,20.0,4,7,0.09
Surgical mask,1.0,20.0,4,14,0.23
Surgical mask,1.0,20.0,4,21,0.23
Surgical mask,1.0,20.0,6,1,0.02
Surgical mask,1.0,20.0,6,3,0.03
Surgical mask,1.0,20.0,6,7,0.06
Surgical mask,1.0,20.0,6,14,0.15
Surgical mask,1.0,20.0,6,21,0.14
Surgical mask,1.0,30.0,2,1,0.24
Surgical mask,1.0,30.0,2,3,0.27
Surgical mask,1.0,30.0,2,7,0.23
Surgical mask,1.0,30.0,2,14,0.48
Surgical mask,1.0,30.0,2,21,0.5
Surgical mask,1.0,30.0,4,1,0.04
Surgical mask,1.0,30.0,4,3,0.09
Surgical mask,1.0,30.0,4,7,0.11
Surgical mask,1.0,30.0,4,14,0.24
Surgical mask,1.0,30.0,4,21,0.24
Surgical mask,1.0,30.0,6,1,0.02
Surgical mask,1.0,30.0,6,3,0.03
Surgical mask,1.0,30.0,6,7,0.07
Surgical mask,1.0,30.0,6,14,0.17
Surgical mask,1.0,30.0,6,21,0.16
Surgical mask,2.0,5.0,2,1,
Surgical mask,2.0,5.0,2,3,
Surgical mask,2.0,5.0,2,7,
Surgical mask,2.0,5.0,2,14,
Surgical mask,2.0,5.0,2,21,
Surgical mask,2.0,5.0,4,1,0.05
Surgical mask,2.0,5.0,4,3,0.05
Surgical mask,2.0,5.0,4,7,0.05
Surgical mask,2.0,5.0,4,14,0.15
Surgical mask,2.0,5.0,4,21,0.1
Surgical mask,2.0,5.0,6,1,0.03
Surgical mask,2.0,5.0,6,3,0.03
Surgical mask,2.0,5.0,6,7,0.05
Surgical mask,2.0,5.0,6,14,0.1
Surgical mask,2.0,5.0,6,21,0.07
Surgical mask,2.0,10.0,2,1,
Surgical mask,2.0,10.0,2,3,
Surgical mask,2.0,10.0,2,7,
Surgical mask,2.0,10.0,2,14,
Surgical mask,2.0,10.0,2,21,
Surgical mask,2.0,10.0,4,1,0.05
Surgical mask,2.0,10.0,4,3,0.06
Surgical mask,2.0,10.0,4,7,0.07
Surgical mask,2.0,10.0,4,14,0.12
Surgical mask,2.0,10.0,4,21,0.15
Surgical mask,2.0,10.0,6,1,0.03
Surgical mask,2.0,10.0,6,3,0.03
Surgical mask,2.0,10.0,6,7,0.05
Surgical mask,2.0,10.0,6,14,0.1
Surgical mask,2.0,10.0,6,21,0.1
Surgical mask,2.0,20.0,2,1,
Surgical mask,2.0,20.0,2,3,
Surgical mask,2.0,20.0,2,7,
Surgical mask,2.0,20.0,2,14,
Surgical mask,2.0,20.0,2,21,
Surgical mask,2.0,20.0,4,1,0.05
Surgical mask,2.0,20.0,4,3,0.05
Surgical mask,2.0,20.0,4,7,0.09
Surgical mask,2.0,20.0,4,14,0.23
Surgical mask,2.0,20.0,4,21,0.21
Surgical mask,2.0,20.0,6,1,0.02
Surgical mask,2.0,20.0,6,3,0.04
Surgical mask,2.0,20.0,6,7,0.05
Surgical mask,2.0,20.0,6,14,0.14
Surgical mask,2.0,20.0,6,21,0.15
Surgical mask,2.0,30.0,2,1,
Surgical mask,2.0,30.0,2,3,
Surgical mask,2.0,30.0,2,7,
Surgical mask,2.0,30.0,2,14,
Surgical mask,2.0,30.0,2,21,
Surgical mask,2.0,30.0,4,1,0.06
Surgical mask,2.0,30.0,4,3,0.07
Surgical mask,2.0,30.0,4,7,0.12
Surgical mask,2.0,30.0,4,14,0.25
Surgical mask,2.0,30.0,4,21,0.24
Surgical mask,2.0,30.0,6,1,0.02
Surgical mask,2.0,30.0,6,3,0.05
Surgical mask,2.0,30.0,6,7,0.07
Surgical mask,2.0,30.0,6,14,0.16
Surgical mask,2.0,30.0,6,21,0.16
Surgical mask,3.0,5.0,2,1,
Surgical mask,3.0,5.0,2,3,
Surgical mask,3.0,5.0,2,7,
Surgical mask,3.0,5.0,2,14,
Surgical mask,3.0,5.0,2,21,
Surgical mask,3.0,5.0,4,1,0.05
Surgical mask,3.0,5.0,4,3,0.05
Surgical mask,3.0,5.0,4,7,0.1
Surgical mask,3.0,5.0,4,14,0.1
Surgical mask,3.0,5.0,4,21,0.1
Surgical mask,3.0,5.0,6,1,0.03
Surgical mask,3.0,5.0,6,3,0.03
Surgical mask,3.0,5.0,6,7,0.03
Surgical mask,3.0,5.0,6,14,0.07
Surgical mask,3.0,5.0,6,21,0.07
Surgical mask,3.0,10.0,2,1,
Surgical mask,3.0,10.0,2,3,
Surgical mask,3.0,10.0,2,7,
Surgical mask,3.0,10.0,2,14,
Surgical mask,3.0,10.0,2,21,
Surgical mask,3.0,10.0,4,1,0.05
Surgical mask,3.0,10.0,4,3,0.05
Surgical mask,3.0,10.0,4,7,0.07
Surgical mask,3.0,10.0,4,14,0.15
Surgical mask,3.0,10.0,4,21,0.15
Surgical mask,3.0,10.0,6,1,0.02
Surgical mask,3.0,10.0,6,3,0.03
Surgical mask,3.0,10.0,6,7,0.03
Surgical mask,3.0,10.0,6,14,0.08
Surgical mask,3.0,10.0,6,21,0.1
Surgical mask,3.0,20.0,2,1,
Surgical mask,3.0,20.0,2,3,
Surgical mask,3.0,20.0,2,7,
Surgical mask,3.0,20.0,2,14,
Surgical mask,3.0,20.0,2,21,
Surgical mask,3.0,20.0,4,1,0.05
Surgical mask,3.0,20.0,4,3,0.07
Surgical mask,3.0,20.0,4,7,0.09
Surgical mask,3.0,20.0,4,14,0.21
Surgical mask,3.0,20.0,4,21,0.23
Surgical mask,3.0,20.0,6,1,0.03
Surgical mask,3.0,20.0,6,3,0.03
Surgical mask,3.0,20.0,6,7,0.05
Surgical mask,3.0,20.0,6,14,0.15
Surgical mask,3.0,20.0,6,21,0.14
Surgical mask,3.0,30.0,2,1,
Surgical mask,3.0,30.0,2,3,
Surgical mask,3.0,30.0,2,7,
Surgical mask,3.0,30.0,2,14,
Surgical mask,3.0,30.0,2,21,
Surgical mask,3.0,30.0,4,1,0.07
Surgical mask,3.0,30.0,4,3,0.1
Surgical mask,3.0,30.0,4,7,0.12
Surgical mask,3.0,30.0,4,14,0.24
Surgical mask,3.0,30.0,4,21,0.24
Surgical mask,3.0,30.0,6,1,0.02
Surgical mask,3.0,30.0,6,3,0.05
Surgical mask,3.0,30.0,6,7,0.08
Surgical mask,3.0,30.0,6,14,0.16
Surgical mask,3.0,30.0,6,21,0.16
