workplace_measure,shifts_per_day,staff_per_shift,strength,staff_change,prop_infected
Gloves,3.0,20.0,4,1,0.12
Gloves,3.0,20.0,4,3,0.13
Gloves,3.0,20.0,4,7,0.11
Gloves,3.0,20.0,4,14,0.25
Gloves,3.0,20.0,4,21,0.25
Gloves,3.0,20.0,6,1,0.03
Gloves,3.0,20.0,6,3,0.05
Gloves,3.0,20.0,6,7,0.08
Gloves,3.0,20.0,6,14,0.17
Gloves,3.0,20.0,6,21,0.17
Gloves,3.0,30.0,2,1,
Gloves,3.0,30.0,2,3,
Gloves,3.0,30.0,2,7,
Gloves,3.0,30.0,2,14,
Gloves,3.0,30.0,2,21,
Gloves,3.0,30.0,4,1,0.12
Gloves,3.0,30.0,4,3,0.22
Gloves,3.0,30.0,4,7,0.18
Gloves,3.0,30.0,4,14,0.25
Gloves,3.0,30.0,4,21,0.25
Gloves,3.0,30.0,6,1,0.06
Gloves,3.0,30.0,6,3,0.11
Gloves,3.0,30.0,6,7,0.13
Gloves,3.0,30.0,6,14,0.17
Gloves,3.0,30.0,6,21,0.17
Gown,1.0,5.0,2,1,0.1
Gown,1.0,5.0,2,3,0.1
Gown,1.0,5.0,2,7,0.1
Gown,1.0,5.0,2,14,0.2
Gown,1.0,5.0,2,21,0.2
Gown,1.0,5.0,4,1,0.05
Gown,1.0,5.0,4,3,0.05
Gown,1.0,5.0,4,7,0.05
Gown,1.0,5.0,4,14,0.1
Gown,1.0,5.0,4,21,0.1
Gown,1.0,5.0,6,1,0.03
Gown,1.0,5.0,6,3,0.03
Gown,1.0,5.0,6,7,0.03
Gown,1.0,5.0,6,14,0.07
Gown,1.0,5.0,6,21,0.07
Gown,1.0,10.0,2,1,0.1
Gown,1.0,10.0,2,3,0.1
Gown,1.0,10.0,2,7,0.1
Gown,1.0,10.0,2,14,0.2
Gown,1.0,10.0,2,21,0.2
Gown,1.0,10.0,4,1,0.03
Gown,1.0,10.0,4,3,0.05
Gown,1.0,10.0,4,7,0.05
Gown,1.0,10.0,4,14,0.1
Gown,1.0,10.0,4,21,0.1
Gown,1.0,10.0,6,1,0.02
Gown,1.0,10.0,6,3,0.02
Gown,1.0,10.0,6,7,0.03
Gown,1.0,10.0,6,14,0.07
Gown,1.0,10.0,6,21,0.07
Gown,1.0,20.0,2,1,0.1
Gown,1.0,20.0,2,3,0.1
Gown,1.0,20.0,2,7,0.1
Gown,1.0,20.0,2,14,0.3
Gown,1.0,20.0,2,21,0.31
Gown,1.0,20.0,4,1,0.03
Gown,1.0,20.0,4,3,0.04
Gown,1.0,20.0,4,7,0.06
Gown,1.0,20.0,4,14,0.14
Gown,1.0,20.0,4,21,0.15
Gown,1.0,20.0,6,1,0.02
Gown,1.0,20.0,6,3,0.02
Gown,1.0,20.0,6,7,0.03
Gown,1.0,20.0,6,14,0.1
Gown,1.0,20.0,6,21,0.1
Gown,1.0,30.0,2,1,0.13
Gown,1.0,30.0,2,3,0.18
Gown,1.0,30.0,2,7,0.12
Gown,1.0,30.0,2,14,0.42
Gown,1.0,30.0,2,21,0.42
Gown,1.0,30.0,4,1,0.03
Gown,1.0,30.0,4,3,0.04
Gown,1.0,30.0,4,7,0.06
Gown,1.0,30.0,4,14,0.21
Gown,1.0,30.0,4,21,0.23
Gown,1.0,30.0,6,1,0.01
Gown,1.0,30.0,6,3,0.02
Gown,1.0,30.0,6,7,0.04
Gown,1.0,30.0,6,14,0.14
Gown,1.0,30.0,6,21,0.14
Gown,2.0,5.0,2,1,
Gown,2.0,5.0,2,3,
Gown,2.0,5.0,2,7,
Gown,2.0,5.0,2,14,
Gown,2.0,5.0,2,21,
Gown,2.0,5.0,4,1,0.05
Gown,2.0,5.0,4,3,0.05
Gown,2.0,5.0,4,7,0.05
Gown,2.0,5.0,4,14,0.1
Gown,2.0,5.0,4,21,0.1
Gown,2.0,5.0,6,1,0.03
Gown,2.0,5.0,6,3,0.03
Gown,2.0,5.0,6,7,0.03
Gown,2.0,5.0,6,14,0.07
Gown,2.0,5.0,6,21,0.07
Gown,2.0,10.0,2,1,
Gown,2.0,10.0,2,3,
Gown,2.0,10.0,2,7,
Gown,2.0,10.0,2,14,
Gown,2.0,10.0,2,21,
Gown,2.0,10.0,4,1,0.05
Gown,2.0,10.0,4,3,0.05
Gown,2.0,10.0,4,7,0.05
Gown,2.0,10.0,4,14,0.1
Gown,2.0,10.0,4,21,0.1
Gown,2.0,10.0,6,1,0.02
Gown,2.0,10.0,6,3,0.02
Gown,2.0,10.0,6,7,0.03
Gown,2.0,10.0,6,14,0.07
Gown,2.0,10.0,6,21,0.07
Gown,2.0,20.0,2,1,
Gown,2.0,20.0,2,3,
Gown,2.0,20.0,2,7,
Gown,2.0,20.0,2,14,
Gown,2.0,20.0,2,21,
Gown,2.0,20.0,4,1,0.04
