strength,staff_change,staff_per_shift,shifts_per_day,end_of_day,prop_infected
2,21,10,1,4,0.20
2,21,20,1,4,0.33
2,21,30,1,4,0.40
4,1,5,1,4,0.05
4,1,10,1,4,0.05
4,1,20,1,4,0.05
4,1,30,1,4,0.05
4,3,5,1,4,0.10
4,3,10,1,4,0.10
4,3,20,1,4,0.11
4,3,30,1,4,0.17
4,7,5,1,4,0.10
4,7,10,1,4,0.10
4,7,20,1,4,0.15
4,7,30,1,4,0.20
4,14,5,1,4,0.10
4,14,10,1,4,0.12
4,14,20,1,4,0.14
4,14,30,1,4,0.20
4,21,5,1,4,0.10
4,21,10,1,4,0.12
4,21,20,1,4,0.16
4,21,30,1,4,0.20
6,1,5,1,4,0.03
6,1,10,1,4,0.03
6,1,20,1,4,0.03
6,1,30,1,4,0.03
6,3,5,1,4,0.07
6,3,10,1,4,0.07
6,3,20,1,4,0.08
6,3,30,1,4,0.09
6,7,5,1,4,0.07
6,7,10,1,4,0.07
6,7,20,1,4,0.10
6,7,30,1,4,0.13
6,14,5,1,4,0.07
6,14,10,1,4,0.08
6,14,20,1,4,0.10
6,14,30,1,4,0.13
6,21,5,1,4,0.07
6,21,10,1,4,0.07
6,21,20,1,4,0.11
6,21,30,1,4,0.13
2,1,5,1,5,0.20
2,1,10,1,5,0.20
2,1,20,1,5,0.25
2,1,30,1,5,0.35
2,3,5,1,5,0.20
2,3,10,1,5,0.25
2,3,20,1,5,0.40
2,3,30,1,5,0.53
2,7,5,1,5,0.20
2,7,10,1,5,0.30
2,7,20,1,5,0.40
2,7,30,1,5,0.48
2,14,5,1,5,0.20
2,14,10,1,5,0.30
2,14,20,1,5,0.40
2,14,30,1,5,0.48
2,21,5,1,5,0.25
2,21,10,1,5,0.30
2,21,20,1,5,0.42
2,21,30,1,5,0.48
4,1,5,1,5,0.05
4,1,10,1,5,0.05
4,1,20,1,5,0.06
4,1,30,1,5,0.07
4,3,5,1,5,0.10
4,3,10,1,5,0.10
4,3,20,1,5,0.15
4,3,30,1,5,0.23
4,7,5,1,5,0.10
4,7,10,1,5,0.12
4,7,20,1,5,0.20
4,7,30,1,5,0.24
4,14,5,1,5,0.10
4,14,10,1,5,0.15
4,14,20,1,5,0.20
4,14,30,1,5,0.24
4,21,5,1,5,0.10
4,21,10,1,5,0.15
4,21,20,1,5,0.21
4,21,30,1,5,0.24
6,1,5,1,5,0.03
6,1,10,1,5,0.03
6,1,20,1,5,0.03
6,1,30,1,5,0.04
6,3,5,1,5,0.07
6,3,10,1,5,0.07
6,3,20,1,5,0.10
6,3,30,1,5,0.13
6,7,5,1,5,0.07
6,7,10,1,5,0.10
6,7,20,1,5,0.13
6,7,30,1,5,0.16
6,14,5,1,5,0.07
6,14,10,1,5,0.10
6,14,20,1,5,0.13
6,14,30,1,5,0.16
6,21,5,1,5,0.10
6,21,10,1,5,0.10
6,21,20,1,5,0.14
6,21,30,1,5,0.16
2,1,5,1,6,0.20
2,1,10,1,6,0.20
2,1,20,1,6,0.35
2,1,30,1,6,0.51
2,3,5,1,6,0.20
2,3,10,1,6,0.30
2,3,20,1,6,0.49
2,3,30,1,6,0.60
2,7,5,1,6,0.30
2,7,10,1,6,0.35
2,7,20,1,6,0.47
2,7,30,1,6,0.50
2,14,5,1,6,0.30
2,14,10,1,6,0.35
2,14,20,1,6,0.47
2,14,30,1,6,0.50
2,21,5,1,6,0.30
2,21,10,1,6,0.35
2,21,20,1,6,0.47
2,21,30,1,6,0.50
4,1,5,1,6,0.05
4,1,10,1,6,0.05
4,1,20,1,6,0.07
4,1,30,1,6,0.08
4,3,5,1,6,0.10
4,3,10,1,6,0.12
4,3,20,1,6,0.21
4,3,30,1,6,0.31
4,7,5,1,6,0.15
4,7,10,1,6,0.17
4,7,20,1,6,0.24
4,7,30,1,6,0.25
4,14,5,1,6,0.15
4,14,10,1,6,0.17
4,14,20,1,6,0.23
4,14,30,1,6,0.25
4,21,5,1,6,0.15
4,21,10,1,6,0.17
4,21,20,1,6,0.24
4,21,30,1,6,0.25
6,1,5,1,6,0.03
6,1,10,1,6,0.03
6,1,20,1,6,0.03
6,1,30,1,6,0.05
6,3,5,1,6,0.07
6,3,10,1,6,0.07
6,3,20,1,6,0.13
6,3,30,1,6,0.18
6,7,5,1,6,0.10
6,7,10,1,6,0.12
6,7,20,1,6,0.16
6,7,30,1,6,0.17
6,14,5,1,6,0.10
6,14,10,1,6,0.12
6,14,20,1,6,0.16
6,14,30,1,6,0.17
6,21,5,1,6,0.10
6,21,10,1,6,0.12
6,21,20,1,6,0.16
6,21,30,1,6,0.17
2,1,5,1,7,0.20
2,1,10,1,7,0.25
2,1,20,1,7,0.44
2,1,30,1,7,0.65
2,3,5,1,7,0.30
2,3,10,1,7,0.35
2,3,20,1,7,0.60
2,3,30,1,7,0.73
2,7,5,1,7,0.30
2,7,10,1,7,0.40
2,7,20,1,7,0.50
2,7,30,1,7,0.50
2,14,5,1,7,0.40
2,14,10,1,7,0.40
2,14,20,1,7,0.50
2,14,30,1,7,0.50
2,21,5,1,7,0.30
2,21,10,1,7,0.40
2,21,20,1,7,0.50
2,21,30,1,7,0.50
4,1,5,1,7,0.05
4,1,10,1,7,0.07
4,1,20,1,7,0.10
4,1,30,1,7,0.12
4,3,5,1,7,0.10
4,3,10,1,7,0.12
4,3,20,1,7,0.24
4,3,30,1,7,0.38
4,7,5,1,7,0.15
4,7,10,1,7,0.20
4,7,20,1,7,0.25
4,7,30,1,7,0.25
4,14,5,1,7,0.15
4,14,10,1,7,0.20
4,14,20,1,7,0.25
4,14,30,1,7,0.25
4,21,5,1,7,0.15
4,21,10,1,7,0.20
4,21,20,1,7,0.25
4,21,30,1,7,0.25
6,1,5,1,7,0.03
6,1,10,1,7,0.03
6,1,20,1,7,0.04
6,1,30,1,7,0.06
6,3,5,1,7,0.07
6,3,10,1,7,0.07
6,3,20,1,7,0.15
6,3,30,1,7,0.22
6,7,5,1,7,0.10
6,7,10,1,7,0.13
6,7,20,1,7,0.17
6,7,30,1,7,0.17
6,14,5,1,7,0.12
6,14,10,1,7,0.13
6,14,20,1,7,0.17
6,14,30,1,7,0.17
6,21,5,1,7,0.12
6,21,10,1,7,0.13
6,21,20,1,7,0.17
6,21,30,1,7,0.17
2,1,5,1,8,0.20
2,1,10,1,8,0.30
2,1,20,1,8,0.55
2,1,30,1,8,0.77
2,3,5,1,8,0.30
2,3,10,1,8,0.40
2,3,20,1,8,0.68
2,3,30,1,8,0.78
2,7,5,1,8,0.40
2,7,10,1,8,0.45
2,7,20,1,8,0.60
2,7,30,1,8,0.65
2,14,5,1,8,0.40
2,14,10,1,8,0.45
2,14,20,1,8,0.50
2,14,30,1,8,0.50
2,21,5,1,8,0.40
2,21,10,1,8,0.45
2,21,20,1,8,0.50
2,21,30,1,8,0.50
4,1,5,1,8,0.05
4,1,10,1,8,0.07
4,1,20,1,8,0.12
4,1,30,1,8,0.17
4,3,5,1,8,0.10
4,3,10,1,8,0.14
4,3,20,1,8,0.29
