2-1,2-3,2-7,2-14,2-21,4-1,4-3,4-7,4-14,4-21,6-1,6-3,6-7,6-14,6-21
,,,,,0.25,0.30,0.30,0.25,0.25,0.10,0.13,0.17,0.17,0.17
,,,,,0.42,0.45,0.42,0.25,0.25,0.13,0.27,0.28,0.17,0.17
,,,,,0.90,0.79,0.49,0.25,0.25,0.48,0.61,0.36,0.17,0.17
,,,,,0.99,0.93,0.49,0.25,0.25,0.79,0.78,0.39,0.17,0.17
