,strength,staff_change,staff_per_shift,shifts_per_day,end_of_day,prop_infected
180,2,1,5,1,2,0.10
181,2,1,5,2,2,
182,2,1,5,3,2,
183,2,1,10,1,2,0.05
184,2,1,10,2,2,
185,2,1,10,3,2,
186,2,1,20,1,2,0.03
187,2,1,20,2,2,
188,2,1,20,3,2,
189,2,1,30,1,2,0.03
190,2,1,30,2,2,
191,2,1,30,3,2,
192,2,3,5,1,2,0.10
193,2,3,5,2,2,
194,2,3,5,3,2,
195,2,3,10,1,2,0.05
196,2,3,10,2,2,
197,2,3,10,3,2,
198,2,3,20,1,2,0.05
199,2,3,20,2,2,
200,2,3,20,3,2,
201,2,3,30,1,2,0.05
202,2,3,30,2,2,
203,2,3,30,3,2,
204,2,7,5,1,2,0.10
205,2,7,5,2,2,
206,2,7,5,3,2,
207,2,7,10,1,2,0.05
208,2,7,10,2,2,
209,2,7,10,3,2,
210,2,7,20,1,2,0.05
211,2,7,20,2,2,
212,2,7,20,3,2,
213,2,7,30,1,2,0.05
214,2,7,30,2,2,
215,2,7,30,3,2,
216,2,14,5,1,2,0.10
217,2,14,5,2,2,
218,2,14,5,3,2,
219,2,14,10,1,2,0.05
220,2,14,10,2,2,
221,2,14,10,3,2,
222,2,14,20,1,2,0.05
223,2,14,20,2,2,
224,2,14,20,3,2,
225,2,14,30,1,2,0.05
226,2,14,30,2,2,
227,2,14,30,3,2,
228,2,21,5,1,2,0.10
229,2,21,5,2,2,
230,2,21,5,3,2,
231,2,21,10,1,2,0.05
232,2,21,10,2,2,
233,2,21,10,3,2,
234,2,21,20,1,2,0.05
235,2,21,20,2,2,
236,2,21,20,3,2,
237,2,21,30,1,2,0.05
238,2,21,30,2,2,
239,2,21,30,3,2,
240,4,1,5,1,2,0.05
241,4,1,5,2,2,0.05
242,4,1,5,3,2,0.05
243,4,1,10,1,2,0.03
244,4,1,10,2,2,0.03
245,4,1,10,3,2,0.03
246,4,1,20,1,2,0.01
247,4,1,20,2,2,0.01
248,4,1,20,3,2,0.01
249,4,1,30,1,2,0.02
250,4,1,30,2,2,0.02
251,4,1,30,3,2,0.01
252,4,3,5,1,2,0.05
253,4,3,5,2,2,0.05
254,4,3,5,3,2,0.05
255,4,3,10,1,2,0.05
256,4,3,10,2,2,0.03
257,4,3,10,3,2,0.03
258,4,3,20,1,2,0.03
259,4,3,20,2,2,0.03
260,4,3,20,3,2,0.03
261,4,3,30,1,2,0.03
262,4,3,30,2,2,0.03
263,4,3,30,3,2,0.03
264,4,7,5,1,2,0.05
265,4,7,5,2,2,0.05
266,4,7,5,3,2,0.05
267,4,7,10,1,2,0.03
268,4,7,10,2,2,0.03
269,4,7,10,3,2,0.03
270,4,7,20,1,2,0.03
271,4,7,20,2,2,0.03
272,4,7,20,3,2,0.03
273,4,7,30,1,2,0.03
274,4,7,30,2,2,0.03
275,4,7,30,3,2,0.03
276,4,14,5,1,2,0.05
277,4,14,5,2,2,0.05
278,4,14,5,3,2,0.05
279,4,14,10,1,2,0.03
280,4,14,10,2,2,0.03
281,4,14,10,3,2,0.03
282,4,14,20,1,2,0.03
283,4,14,20,2,2,0.03
284,4,14,20,3,2,0.03
285,4,14,30,1,2,0.02
286,4,14,30,2,2,0.02
287,4,14,30,3,2,0.03
288,4,21,5,1,2,0.05
289,4,21,5,2,2,0.05
290,4,21,5,3,2,0.05
291,4,21,10,1,2,0.03
292,4,21,10,2,2,0.03
293,4,21,10,3,2,0.03
294,4,21,20,1,2,0.03
295,4,21,20,2,2,0.03
296,4,21,20,3,2,0.03
297,4,21,30,1,2,0.03
298,4,21,30,2,2,0.03
299,4,21,30,3,2,0.03
300,6,1,5,1,2,0.03
301,6,1,5,2,2,0.03
302,6,1,5,3,2,0.03
303,6,1,10,1,2,0.02
304,6,1,10,2,2,0.02
305,6,1,10,3,2,0.02
306,6,1,20,1,2,0.01
307,6,1,20,2,2,0.01
308,6,1,20,3,2,0.01
309,6,1,30,1,2,0.01
310,6,1,30,2,2,0.01
311,6,1,30,3,2,0.01
312,6,3,5,1,2,0.03
313,6,3,5,2,2,0.03
314,6,3,5,3,2,0.03
315,6,3,10,1,2,0.02
316,6,3,10,2,2,0.02
317,6,3,10,3,2,0.02
318,6,3,20,1,2,0.02
319,6,3,20,2,2,0.02
320,6,3,20,3,2,0.02
321,6,3,30,1,2,0.02
322,6,3,30,2,2,0.02
323,6,3,30,3,2,0.02
324,6,7,5,1,2,0.03
325,6,7,5,2,2,0.03
326,6,7,5,3,2,0.03
327,6,7,10,1,2,0.02
328,6,7,10,2,2,0.02
329,6,7,10,3,2,0.02
330,6,7,20,1,2,0.02
331,6,7,20,2,2,0.02
332,6,7,20,3,2,0.02
333,6,7,30,1,2,0.02
334,6,7,30,2,2,0.02
335,6,7,30,3,2,0.02
336,6,14,5,1,2,0.03
337,6,14,5,2,2,0.03
338,6,14,5,3,2,0.03
339,6,14,10,1,2,0.02
340,6,14,10,2,2,0.02
341,6,14,10,3,2,0.02
342,6,14,20,1,2,0.02
343,6,14,20,2,2,0.02
344,6,14,20,3,2,0.02
345,6,14,30,1,2,0.02
346,6,14,30,2,2,0.02
347,6,14,30,3,2,0.02
348,6,21,5,1,2,0.03
349,6,21,5,2,2,0.03
350,6,21,5,3,2,0.03
351,6,21,10,1,2,0.03
352,6,21,10,2,2,0.02
353,6,21,10,3,2,0.02
354,6,21,20,1,2,0.02
355,6,21,20,2,2,0.02
356,6,21,20,3,2,0.02
357,6,21,30,1,2,0.02
358,6,21,30,2,2,0.02
359,6,21,30,3,2,0.02
360,2,1,5,1,3,0.10
361,2,1,5,2,3,
362,2,1,5,3,3,
363,2,1,10,1,3,0.05
364,2,1,10,2,3,
365,2,1,10,3,3,
366,2,1,20,1,3,0.05
367,2,1,20,2,3,
368,2,1,20,3,3,
369,2,1,30,1,3,0.05
370,2,1,30,2,3,
371,2,1,30,3,3,
372,2,3,5,1,3,0.10
373,2,3,5,2,3,
374,2,3,5,3,3,
375,2,3,10,1,3,0.05
376,2,3,10,2,3,
377,2,3,10,3,3,
378,2,3,20,1,3,0.07
379,2,3,20,2,3,
380,2,3,20,3,3,
381,2,3,30,1,3,0.08
382,2,3,30,2,3,
383,2,3,30,3,3,
384,2,7,5,1,3,0.10
385,2,7,5,2,3,
386,2,7,5,3,3,
387,2,7,10,1,3,0.10
388,2,7,10,2,3,
389,2,7,10,3,3,
390,2,7,20,1,3,0.07
391,2,7,20,2,3,
392,2,7,20,3,3,
393,2,7,30,1,3,0.07
394,2,7,30,2,3,
395,2,7,30,3,3,
396,2,14,5,1,3,0.10
397,2,14,5,2,3,
398,2,14,5,3,3,
399,2,14,10,1,3,0.10
400,2,14,10,2,3,
