strength,staff_change,staff_per_shift,shifts_per_day,end_of_day,prop_infected
2,1,5,1,1,0.10
2,1,5,2,1,
2,1,5,3,1,
2,1,10,1,1,0.10
2,1,10,2,1,
2,1,10,3,1,
2,1,20,1,1,0.07
2,1,20,2,1,
2,1,20,3,1,
2,1,30,1,1,0.07
2,1,30,2,1,
2,1,30,3,1,
2,3,5,1,1,0.10
2,3,5,2,1,
2,3,5,3,1,
2,3,10,1,1,0.10
2,3,10,2,1,
2,3,10,3,1,
2,3,20,1,1,0.07
2,3,20,2,1,
2,3,20,3,1,
2,3,30,1,1,0.08
2,3,30,2,1,
2,3,30,3,1,
2,7,5,1,1,0.20
2,7,5,2,1,
2,7,5,3,1,
2,7,10,1,1,0.10
2,7,10,2,1,
2,7,10,3,1,
2,7,20,1,1,0.07
2,7,20,2,1,
2,7,20,3,1,
2,7,30,1,1,0.07
2,7,30,2,1,
2,7,30,3,1,
2,14,5,1,1,0.10
2,14,5,2,1,
2,14,5,3,1,
2,14,10,1,1,0.10
2,14,10,2,1,
2,14,10,3,1,
2,14,20,1,1,0.07
2,14,20,2,1,
2,14,20,3,1,
2,14,30,1,1,0.08
2,14,30,2,1,
2,14,30,3,1,
2,21,5,1,1,0.10
2,21,5,2,1,
2,21,5,3,1,
2,21,10,1,1,0.10
2,21,10,2,1,
2,21,10,3,1,
2,21,20,1,1,0.07
2,21,20,2,1,
2,21,20,3,1,
2,21,30,1,1,0.08
2,21,30,2,1,
2,21,30,3,1,
4,1,5,1,1,0.05
4,1,5,2,1,0.05
4,1,5,3,1,0.10
4,1,10,1,1,0.05
4,1,10,2,1,0.05
4,1,10,3,1,0.05
4,1,20,1,1,0.04
4,1,20,2,1,0.04
4,1,20,3,1,0.04
4,1,30,1,1,0.03
4,1,30,2,1,0.04
4,1,30,3,1,0.03
4,3,5,1,1,0.05
4,3,5,2,1,0.05
4,3,5,3,1,0.05
4,3,10,1,1,0.05
4,3,10,2,1,0.05
4,3,10,3,1,0.05
4,3,20,1,1,0.04
4,3,20,2,1,0.04
4,3,20,3,1,0.04
4,3,30,1,1,0.03
4,3,30,2,1,0.03
4,3,30,3,1,0.04
4,7,5,1,1,0.05
4,7,5,2,1,0.05
4,7,5,3,1,0.05
4,7,10,1,1,0.05
4,7,10,2,1,0.05
4,7,10,3,1,0.05
4,7,20,1,1,0.04
4,7,20,2,1,0.04
4,7,20,3,1,0.04
4,7,30,1,1,0.04
4,7,30,2,1,0.03
4,7,30,3,1,0.03
4,14,5,1,1,0.05
4,14,5,2,1,0.05
4,14,5,3,1,0.05
4,14,10,1,1,0.05
4,14,10,2,1,0.05
4,14,10,3,1,0.05
4,14,20,1,1,0.04
4,14,20,2,1,0.04
4,14,20,3,1,0.04
4,14,30,1,1,0.03
4,14,30,2,1,0.03
4,14,30,3,1,0.03
4,21,5,1,1,0.05
4,21,5,2,1,0.05
4,21,5,3,1,0.05
4,21,10,1,1,0.05
4,21,10,2,1,0.05
4,21,10,3,1,0.05
4,21,20,1,1,0.04
4,21,20,2,1,0.04
4,21,20,3,1,0.04
4,21,30,1,1,0.04
4,21,30,2,1,0.03
4,21,30,3,1,0.04
6,1,5,1,1,0.07
6,1,5,2,1,0.03
6,1,5,3,1,0.03
6,1,10,1,1,0.03
6,1,10,2,1,0.03
6,1,10,3,1,0.03
6,1,20,1,1,0.03
6,1,20,2,1,0.03
6,1,20,3,1,0.03
6,1,30,1,1,0.02
6,1,30,2,1,0.02
6,1,30,3,1,0.03
6,3,5,1,1,0.03
6,3,5,2,1,0.03
6,3,5,3,1,0.03
6,3,10,1,1,0.03
6,3,10,2,1,0.03
6,3,10,3,1,0.03
6,3,20,1,1,0.03
6,3,20,2,1,0.03
6,3,20,3,1,0.03
6,3,30,1,1,0.03
6,3,30,2,1,0.02
6,3,30,3,1,0.02
6,7,5,1,1,0.03
6,7,5,2,1,0.03
6,7,5,3,1,0.03
6,7,10,1,1,0.03
6,7,10,2,1,0.03
6,7,10,3,1,0.03
6,7,20,1,1,0.03
6,7,20,2,1,0.03
6,7,20,3,1,0.03
6,7,30,1,1,0.03
6,7,30,2,1,0.03
6,7,30,3,1,0.03
6,14,5,1,1,0.03
6,14,5,2,1,0.03
6,14,5,3,1,0.03
6,14,10,1,1,0.03
6,14,10,2,1,0.03
6,14,10,3,1,0.03
6,14,20,1,1,0.03
6,14,20,2,1,0.03
6,14,20,3,1,0.03
6,14,30,1,1,0.03
6,14,30,2,1,0.02
6,14,30,3,1,0.02
6,21,5,1,1,0.03
6,21,5,2,1,0.03
6,21,5,3,1,0.07
6,21,10,1,1,0.03
6,21,10,2,1,0.03
6,21,10,3,1,0.03
6,21,20,1,1,0.03
6,21,20,2,1,0.03
6,21,20,3,1,0.03
6,21,30,1,1,0.03
6,21,30,2,1,0.02
6,21,30,3,1,0.02
2,1,5,1,2,0.10
2,1,5,2,2,
2,1,5,3,2,
2,1,10,1,2,0.10
2,1,10,2,2,
2,1,10,3,2,
2,1,20,1,2,0.07
2,1,20,2,2,
2,1,20,3,2,
2,1,30,1,2,0.07
2,1,30,2,2,
2,1,30,3,2,
2,3,5,1,2,0.20
2,3,5,2,2,
2,3,5,3,2,
2,3,10,1,2,0.20
2,3,10,2,2,
2,3,10,3,2,
2,3,20,1,2,0.24
2,3,20,2,2,
2,3,20,3,2,
2,3,30,1,2,0.28
2,3,30,2,2,
2,3,30,3,2,
2,7,5,1,2,0.20
2,7,5,2,2,
2,7,5,3,2,
2,7,10,1,2,0.20
2,7,10,2,2,
2,7,10,3,2,
2,7,20,1,2,0.23
2,7,20,2,2,
2,7,20,3,2,
2,7,30,1,2,0.25
2,7,30,2,2,
2,7,30,3,2,
2,14,5,1,2,0.20
2,14,5,2,2,
2,14,5,3,2,
2,14,10,1,2,0.20
2,14,10,2,2,
2,14,10,3,2,
2,14,20,1,2,0.23
2,14,20,2,2,
2,14,20,3,2,
2,14,30,1,2,0.27
2,14,30,2,2,
2,14,30,3,2,
2,21,5,1,2,0.20
2,21,5,2,2,
2,21,5,3,2,
2,21,10,1,2,0.20
2,21,10,2,2,
2,21,10,3,2,
2,21,20,1,2,0.23
2,21,20,2,2,
2,21,20,3,2,
2,21,30,1,2,0.27
2,21,30,2,2,
2,21,30,3,2,
4,1,5,1,2,0.05
4,1,5,2,2,0.05
4,1,5,3,2,0.10
4,1,10,1,2,0.05
4,1,10,2,2,0.05
4,1,10,3,2,0.05
4,1,20,1,2,0.04
4,1,20,2,2,0.04
4,1,20,3,2,0.04
4,1,30,1,2,0.03
4,1,30,2,2,0.04
4,1,30,3,2,0.03
4,3,5,1,2,0.10
4,3,5,2,2,0.10
4,3,5,3,2,0.10
4,3,10,1,2,0.10
4,3,10,2,2,0.11
4,3,10,3,2,0.10
4,3,20,1,2,0.11
4,3,20,2,2,0.11
4,3,20,3,2,0.11
4,3,30,1,2,0.12
4,3,30,2,2,0.12
4,3,30,3,2,0.14
4,7,5,1,2,0.10
4,7,5,2,2,0.10
4,7,5,3,2,0.10
4,7,10,1,2,0.10
4,7,10,2,2,0.10
4,7,10,3,2,0.10
4,7,20,1,2,0.11
4,7,20,2,2,0.12
4,7,20,3,2,0.11
4,7,30,1,2,0.14
4,7,30,2,2,0.13
4,7,30,3,2,0.12
4,14,5,1,2,0.10
4,14,5,2,2,0.10
4,14,5,3,2,0.10
4,14,10,1,2,0.12
4,14,10,2,2,0.10
4,14,10,3,2,0.10
4,14,20,1,2,0.11
4,14,20,2,2,0.11
4,14,20,3,2,0.11
4,14,30,1,2,0.13
4,14,30,2,2,0.13
4,14,30,3,2,0.12
4,21,5,1,2,0.10
4,21,5,2,2,0.10
4,21,5,3,2,0.10
4,21,10,1,2,0.10
4,21,10,2,2,0.10
4,21,10,3,2,0.10
4,21,20,1,2,0.12
4,21,20,2,2,0.10
4,21,20,3,2,0.11
4,21,30,1,2,0.14
4,21,30,2,2,0.13
4,21,30,3,2,0.12
6,1,5,1,2,0.07
6,1,5,2,2,0.03
6,1,5,3,2,0.03
6,1,10,1,2,0.03
6,1,10,2,2,0.03
6,1,10,3,2,0.03
6,1,20,1,2,0.03
6,1,20,2,2,0.03
6,1,20,3,2,0.03
6,1,30,1,2,0.02
6,1,30,2,2,0.02
6,1,30,3,2,0.03
6,3,5,1,2,0.07
6,3,5,2,2,0.07
6,3,5,3,2,0.07
6,3,10,1,2,0.07
6,3,10,2,2,0.07
6,3,10,3,2,0.07
6,3,20,1,2,0.08
6,3,20,2,2,0.07
6,3,20,3,2,0.08
6,3,30,1,2,0.09
6,3,30,2,2,0.09
6,3,30,3,2,0.09
6,7,5,1,2,0.07
6,7,5,2,2,0.07
6,7,5,3,2,0.07
6,7,10,1,2,0.07
6,7,10,2,2,0.07
6,7,10,3,2,0.07
6,7,20,1,2,0.07
6,7,20,2,2,0.07
6,7,20,3,2,0.07
6,7,30,1,2,0.09
6,7,30,2,2,0.09
6,7,30,3,2,0.09
6,14,5,1,2,0.07
6,14,5,2,2,0.07
6,14,5,3,2,0.07
6,14,10,1,2,0.07
6,14,10,2,2,0.07
6,14,10,3,2,0.07
6,14,20,1,2,0.07
6,14,20,2,2,0.07
6,14,20,3,2,0.07
6,14,30,1,2,0.09
6,14,30,2,2,0.09
6,14,30,3,2,0.08
6,21,5,1,2,0.07
6,21,5,2,2,0.07
6,21,5,3,2,0.07
6,21,10,1,2,0.07
6,21,10,2,2,0.07
6,21,10,3,2,0.07
6,21,20,1,2,0.07
6,21,20,2,2,0.08
6,21,20,3,2,0.07
6,21,30,1,2,0.09
6,21,30,2,2,0.08
6,21,30,3,2,0.08
2,1,5,1,3,0.20
2,1,5,2,3,
2,1,5,3,3,
2,1,10,1,3,0.20
2,1,10,2,3,
2,1,10,3,3,
2,1,20,1,3,0.23
2,1,20,2,3,
2,1,20,3,3,
2,1,30,1,3,0.27
2,1,30,2,3,
2,1,30,3,3,
2,3,5,1,3,0.30
2,3,5,2,3,
2,3,5,3,3,
2,3,10,1,3,0.32
2,3,10,2,3,
2,3,10,3,3,
2,3,20,1,3,0.42
2,3,20,2,3,
2,3,20,3,3,
2,3,30,1,3,0.48
2,3,30,2,3,
2,3,30,3,3,
2,7,5,1,3,0.30
2,7,5,2,3,
2,7,5,3,3,
2,7,10,1,3,0.30
2,7,10,2,3,
2,7,10,3,3,
2,7,20,1,3,0.45
2,7,20,2,3,
2,7,20,3,3,
2,7,30,1,3,0.47
2,7,30,2,3,
2,7,30,3,3,
2,14,5,1,3,0.30
2,14,5,2,3,
2,14,5,3,3,
2,14,10,1,3,0.30
2,14,10,2,3,
2,14,10,3,3,
2,14,20,1,3,0.42
2,14,20,2,3,
2,14,20,3,3,
2,14,30,1,3,0.48
2,14,30,2,3,
2,14,30,3,3,
2,21,5,1,3,0.30
2,21,5,2,3,
2,21,5,3,3,
2,21,10,1,3,0.30
2,21,10,2,3,
2,21,10,3,3,
2,21,20,1,3,0.40
2,21,20,2,3,
2,21,20,3,3,
2,21,30,1,3,0.47
2,21,30,2,3,
2,21,30,3,3,
4,1,5,1,3,0.08
4,1,5,2,3,0.10
4,1,5,3,3,0.10
4,1,10,1,3,0.05
4,1,10,2,3,0.07
4,1,10,3,3,0.07
4,1,20,1,3,0.09
4,1,20,2,3,0.07
4,1,20,3,3,0.09
4,1,30,1,3,0.07
4,1,30,2,3,0.09
4,1,30,3,3,0.11
4,3,5,1,3,0.15
4,3,5,2,3,0.15
4,3,5,3,3,0.15
4,3,10,1,3,0.15
4,3,10,2,3,0.17
4,3,10,3,3,0.17
4,3,20,1,3,0.21
4,3,20,2,3,0.21
4,3,20,3,3,0.20
4,3,30,1,3,0.23
4,3,30,2,3,0.23
4,3,30,3,3,0.24
4,7,5,1,3,0.15
4,7,5,2,3,0.15
4,7,5,3,3,0.15
4,7,10,1,3,0.17
4,7,10,2,3,0.17
4,7,10,3,3,0.15
4,7,20,1,3,0.21
4,7,20,2,3,0.21
4,7,20,3,3,0.21
4,7,30,1,3,0.24
4,7,30,2,3,0.23
4,7,30,3,3,0.23
4,14,5,1,3,0.15
4,14,5,2,3,0.15
4,14,5,3,3,0.15
4,14,10,1,3,0.17
4,14,10,2,3,0.17
4,14,10,3,3,0.17
4,14,20,1,3,0.21
4,14,20,2,3,0.21
4,14,20,3,3,0.21
4,14,30,1,3,0.23
4,14,30,2,3,0.23
4,14,30,3,3,0.23
4,21,5,1,3,0.15
4,21,5,2,3,0.15
4,21,5,3,3,0.15
4,21,10,1,3,0.15
4,21,10,2,3,0.16
4,21,10,3,3,0.17
4,21,20,1,3,0.21
4,21,20,2,3,0.20
4,21,20,3,3,0.21
4,21,30,1,3,0.24
4,21,30,2,3,0.24
4,21,30,3,3,0.23
6,1,5,1,3,0.07
6,1,5,2,3,0.03
6,1,5,3,3,0.07
6,1,10,1,3,0.03
6,1,10,2,3,0.03
6,1,10,3,3,0.03
6,1,20,1,3,0.03
6,1,20,2,3,0.04
6,1,20,3,3,0.04
6,1,30,1,3,0.04
6,1,30,2,3,0.04
6,1,30,3,3,0.05
6,3,5,1,3,0.10
6,3,5,2,3,0.10
6,3,5,3,3,0.07
6,3,10,1,3,0.12
6,3,10,2,3,0.10
6,3,10,3,3,0.12
6,3,20,1,3,0.14
6,3,20,2,3,0.14
6,3,20,3,3,0.14
6,3,30,1,3,0.16
6,3,30,2,3,0.16
6,3,30,3,3,0.16
6,7,5,1,3,0.10
6,7,5,2,3,0.10
6,7,5,3,3,0.10
6,7,10,1,3,0.10
6,7,10,2,3,0.10
6,7,10,3,3,0.12
6,7,20,1,3,0.14
6,7,20,2,3,0.14
6,7,20,3,3,0.14
6,7,30,1,3,0.16
6,7,30,2,3,0.16
6,7,30,3,3,0.16
6,14,5,1,3,0.10
6,14,5,2,3,0.10
6,14,5,3,3,0.10
6,14,10,1,3,0.10
6,14,10,2,3,0.10
6,14,10,3,3,0.10
6,14,20,1,3,0.14
6,14,20,2,3,0.14
6,14,20,3,3,0.13
6,14,30,1,3,0.16
6,14,30,2,3,0.16
6,14,30,3,3,0.16
6,21,5,1,3,0.10
6,21,5,2,3,0.10
6,21,5,3,3,0.10
6,21,10,1,3,0.12
6,21,10,2,3,0.10
6,21,10,3,3,0.12
