2-1,2-3,2-7,2-14,2-21,4-1,4-3,4-7,4-14,4-21,6-1,6-3,6-7,6-14,6-21
,,,,,0.10,0.10,0.15,0.15,0.20,0.07,0.07,0.13,0.10,0.13
,,,,,0.07,0.10,0.20,0.23,0.20,0.03,0.07,0.15,0.13,0.13
,,,,,0.11,0.16,0.25,0.25,0.25,0.04,0.09,0.17,0.17,0.17
,,,,,0.18,0.20,0.25,0.25,0.25,0.06,0.13,0.17,0.17,0.17
